,Player,Tm,G,Pos,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,PTS_VAR,TRB_VAR,AST_VAR,STL_VAR,BLK_VAR,FG%_VAR,3P%_VAR,FT%_VAR,TOT_VAR
230,Troy Brown Jr.,TOT,59,SF,14.6,8.5,3.5,1.4,0.2,0.372,0.333,0.865,-0.82,0.55,-0.03,0.0,-1.02,-2.13,-0.44,0.86,5.85
231,Tyrese Haliburton,IND,69,PG,29.5,5.7,16.0,1.8,1.0,0.477,0.364,0.855,0.89,-0.17,3.04,0.57,1.67,0.78,-0.16,0.27,7.55
232,Tyrese Maxey,PHI,70,PG,34.0,4.8,8.1,1.3,0.6,0.45,0.373,0.868,1.46,-0.68,-0.06,-0.38,0.46,0.01,0.08,0.44,3.57
233,Tyus Jones,WAS,66,PG,19.1,4.3,11.7,1.7,0.4,0.489,0.414,0.8,-0.41,-0.96,1.36,0.38,-0.15,1.13,1.19,-0.45,6.03
234,Vasilije MiciÄ,TOT,60,PG,17.6,3.7,10.9,1.3,0.3,0.43,0.279,0.813,-0.59,-1.3,1.04,-0.38,-0.46,-0.56,-2.47,-0.28,7.08
235,Victor Wembanyama,SAS,71,C,34.3,17.0,6.2,2.0,5.7,0.465,0.325,0.796,2.01,0.63,0.92,1.36,3.32,-1.37,0.0,0.67,10.28
236,Walker Kessler,UTA,64,C,16.7,15.5,1.9,1.0,5.0,0.654,0.211,0.602,-0.84,0.2,-0.88,-0.58,2.72,1.07,-0.52,-1.74,8.55
237,Zach Collins,SAS,69,C,24.1,11.5,6.0,1.1,1.6,0.484,0.32,0.753,0.36,-0.95,0.83,-0.39,-0.17,-1.12,-0.02,0.14,3.98
238,Zeke Nnaji,DEN,58,PF,16.0,10.8,2.8,1.3,3.3,0.463,0.261,0.677,-0.77,0.54,-0.53,0.0,3.06,-0.14,-1.51,-0.76,7.31
239,Zion Williamson,NOP,70,PF,35.6,9.0,7.8,1.7,1.0,0.57,0.333,0.702,1.78,-0.15,1.68,1.01,0.0,1.73,-0.52,-0.49,7.36
